99999 1 2
12000 23999 12000 1
27238 54475 27238 1
45706 91411 45706 1
20197 40393 20197 1
53932 92136 53932 1
23890 47779 23890 1
36685 73369 36685 1
73748 52504 73748 1
44588 89175 44588 1
44483 88965 44483 1
18024 36047 18024 1
23527 47053 23527 1
93188 13624 93188 1
47369 94737 47369 1
18805 37609 18805 1
96399 7202 96399 1
21262 42523 21262 1
82976 34048 82976 1
3058 6115 3058 1
14698 29395 14698 1
18182 36363 18182 1
77635 44730 77635 1
73155 53690 73155 1
10581 21161 10581 1
75988 48024 75988 1
68803 62394 68803 1
2277 4553 2277 1
58763 82474 58763 1
43913 87825 43913 1
45058 90115 45058 1
9690 19379 9690 1
30237 60473 30237 1
10943 21885 10943 1
69253 61494 69253 1
94636 10728 94636 1
21651 43301 21651 1
19746 39491 19746 1
89269 21462 89269 1
49424 98847 49424 1
86575 26850 86575 1
89637 20726 89637 1
12269 24537 12269 1
32993 65985 32993 1
96891 6218 96891 1
10107 20213 10107 1
28401 56801 28401 1
48030 96059 48030 1
46475 92949 46475 1
20487 40973 20487 1
25526 51051 25526 1
75128 49744 75128 1
73306 53388 73306 1
4701 9401 4701 1
96567 6866 96567 1
33456 66911 33456 1
85593 28814 85593 1
56361 87278 56361 1
80314 39372 80314 1
16517 33033 16517 1
36004 72007 36004 1
59396 81208 59396 1
79803 40394 79803 1
89611 20778 89611 1
20352 40703 20352 1
98409 3182 98409 1
48367 96733 48367 1
32424 64847 32424 1
20510 41019 20510 1
52256 95488 52256 1
45635 91269 45635 1
25898 51795 25898 1
68496 63008 68496 1
11107 22213 11107 1
24212 48423 24212 1
93181 13638 93181 1
16895 33789 16895 1
46158 92315 46158 1
73097 53806 73097 1
79519 40962 79519 1
55669 88662 55669 1
8800 17599 8800 1
29088 58175 29088 1
12477 24953 12477 1
45981 91961 45981 1
14011 28021 14011 1
94716 10568 94716 1
50070 99860 50070 1
71879 56242 71879 1
54099 91802 54099 1
9792 19583 9792 1
49630 99259 49630 1
66285 67430 66285 1
41688 83375 41688 1
58290 83420 58290 1
83533 32934 83533 1
91384 17232 91384 1
94046 11908 94046 1
21068 42135 21068 1
40706 81411 40706 1
11280 22559 11280 1
31349 62697 31349 1
21903 43805 21903 1
18211 36421 18211 1
24398 48795 24398 1
24385 48769 24385 1
94256 11488 94256 1
44049 88097 44049 1
11883 23765 11883 1
52612 94776 52612 1
35985 71969 35985 1
92208 15584 92208 1
98128 3744 98128 1
27286 54571 27286 1
73233 53534 73233 1
31098 62195 31098 1
89278 21444 89278 1
94553 10894 94553 1
7837 15673 7837 1
45959 91917 45959 1
57526 84948 57526 1
15410 30819 15410 1
1844 3687 1844 1
71494 57012 71494 1
8959 17917 8959 1
78627 42746 78627 1
72563 54874 72563 1
70426 59148 70426 1
62369 75262 62369 1
85053 29894 85053 1
50441 99118 50441 1
9496 18991 9496 1
79290 41420 79290 1
97879 4242 97879 1
21036 42071 21036 1
22446 44891 22446 1
7285 14569 7285 1
29352 58703 29352 1
54260 91480 54260 1
86668 26664 86668 1
59711 80578 59711 1
22894 45787 22894 1
42656 85311 42656 1
84639 30722 84639 1
85370 29260 85370 1
29075 58149 29075 1
11601 23201 11601 1
40534 81067 40534 1
36670 73339 36670 1
41314 82627 41314 1
11120 22239 11120 1
8848 17695 8848 1
29360 58719 29360 1
85610 28780 85610 1
65543 68914 65543 1
64908 70184 64908 1
77718 44564 77718 1
88437 23126 88437 1
74227 51546 74227 1
22578 45155 22578 1
46352 92703 46352 1
7611 15221 7611 1
15129 30257 15129 1
48145 96289 48145 1
18872 37743 18872 1
84921 30158 84921 1
70539 58922 70539 1
3001 6001 3001 1
54652 90696 54652 1
38207 76413 38207 1
33517 67033 33517 1
56966 86068 56966 1
84595 30810 84595 1
65580 68840 65580 1
33013 66025 33013 1
4160 8319 4160 1
94008 11984 94008 1
8136 16271 8136 1
49686 99371 49686 1
70384 59232 70384 1
79777 40446 79777 1
2234 4467 2234 1
31653 63305 31653 1
7682 15363 7682 1
25061 50121 25061 1
46310 92619 46310 1
40380 80759 40380 1
90276 19448 90276 1
52518 94964 52518 1
40317 80633 40317 1
20065 40129 20065 1
79165 41670 79165 1
9778 19555 9778 1
79160 41680 79160 1
29315 58629 29315 1
77758 44484 77758 1
66368 67264 66368 1
96712 6576 96712 1
70020 59960 70020 1
41999 83997 41999 1
83151 33698 83151 1
86647 26706 86647 1
7905 15809 7905 1
44703 89405 44703 1
10966 21931 10966 1
29302 58603 29302 1
92683 14634 92683 1
8242 16483 8242 1
77328 45344 77328 1
9249 18497 9249 1
68872 62256 68872 1
9 17 9 1
11387 22773 11387 1
86326 27348 86326 1
62722 74556 62722 1
55341 89318 55341 1
31317 62633 31317 1
42603 85205 42603 1
25064 50127 25064 1
65892 68216 65892 1
31375 62749 31375 1
32954 65907 32954 1
29854 59707 29854 1
7778 15555 7778 1
43030 86059 43030 1
91192 17616 91192 1
69887 60226 69887 1
6395 12789 6395 1
20229 40457 20229 1
78064 43872 78064 1
91797 16406 91797 1
72451 55098 72451 1
90694 18612 90694 1
66053 67894 66053 1
18797 37593 18797 1
99453 1094 99453 1
21682 43363 21682 1
9839 19677 9839 1
10365 20729 10365 1
88543 22914 88543 1
72128 55744 72128 1
94030 11940 94030 1
874 1747 874 1
92919 14162 92919 1
84183 31634 84183 1
19525 39049 19525 1
60456 79088 60456 1
882 1763 882 1
26176 52351 26176 1
28282 56563 28282 1
6120 12239 6120 1
79400 41200 79400 1
44753 89505 44753 1
69772 60456 69772 1
27543 55085 27543 1
42711 85421 42711 1
765 1529 765 1
81161 37678 81161 1
67082 65836 67082 1
75818 48364 75818 1
77191 45618 77191 1
65022 69956 65022 1
65434 69132 65434 1
15683 31365 15683 1
28809 57617 28809 1
37150 74299 37150 1
4405 8809 4405 1
45320 90639 45320 1
59749 80502 59749 1
13923 27845 13923 1
53600 92800 53600 1
34048 68095 34048 1
55924 88152 55924 1
97123 5754 97123 1
45656 91311 45656 1
32656 65311 32656 1
88806 22388 88806 1
87073 25854 87073 1
12079 24157 12079 1
59412 81176 59412 1
46710 93419 46710 1
95615 8770 95615 1
72392 55216 72392 1
98804 2392 98804 1
41837 83673 41837 1
98757 2486 98757 1
32990 65979 32990 1
98223 3554 98223 1
82167 35666 82167 1
2962 5923 2962 1
32925 65849 32925 1
38477 76953 38477 1
30392 60783 30392 1
66627 66746 66627 1
38182 76363 38182 1
27170 54339 27170 1
76625 46750 76625 1
25165 50329 25165 1
93856 12288 93856 1
94893 10214 94893 1
41937 83873 41937 1
93328 13344 93328 1
84315 31370 84315 1
68081 63838 68081 1
10160 20319 10160 1
7326 14651 7326 1
95967 8066 95967 1
10352 20703 10352 1
91919 16162 91919 1
5074 10147 5074 1
8683 17365 8683 1
78423 43154 78423 1
18700 37399 18700 1
57817 84366 57817 1
29361 58721 29361 1
99620 760 99620 1
83410 33180 83410 1
25409 50817 25409 1
25079 50157 25079 1
41396 82791 41396 1
58038 83924 58038 1
94512 10976 94512 1
32723 65445 32723 1
43406 86811 43406 1
21067 42133 21067 1
24026 48051 24026 1
67175 65650 67175 1
2041 4081 2041 1
73495 53010 73495 1
99962 76 99962 1
80840 38320 80840 1
56241 87518 56241 1
97612 4776 97612 1
3271 6541 3271 1
17129 34257 17129 1
73218 53564 73218 1
60171 79658 60171 1
7389 14777 7389 1
88229 23542 88229 1
40254 80507 40254 1
51828 96344 51828 1
27997 55993 27997 1
56433 87134 56433 1
64649 70702 64649 1
4172 8343 4172 1
27276 54551 27276 1
26291 52581 26291 1
70072 59856 70072 1
26071 52141 26071 1
31530 63059 31530 1
24276 48551 24276 1
71841 56318 71841 1
54315 91370 54315 1
8573 17145 8573 1
39600 79199 39600 1
5117 10233 5117 1
71858 56284 71858 1
84173 31654 84173 1
16575 33149 16575 1
48716 97431 48716 1
97224 5552 97224 1
61412 77176 61412 1
61556 76888 61556 1
21124 42247 21124 1
29008 58015 29008 1
31702 63403 31702 1
3515 7029 3515 1
87509 24982 87509 1
39130 78259 39130 1
14035 28069 14035 1
24176 48351 24176 1
46606 93211 46606 1
74452 51096 74452 1
35286 70571 35286 1
99703 594 99703 1
17361 34721 17361 1
76753 46494 76753 1
90829 18342 90829 1
77364 45272 77364 1
99042 1916 99042 1
44962 89923 44962 1
49080 98159 49080 1
5335 10669 5335 1
35917 71833 35917 1
67326 65348 67326 1
68153 63694 68153 1
30974 61947 30974 1
28226 56451 28226 1
6319 12637 6319 1
71529 56942 71529 1
23613 47225 23613 1
50238 99524 50238 1
33735 67469 33735 1
50746 98508 50746 1
65150 69700 65150 1
47011 94021 47011 1
30902 61803 30902 1
76692 46616 76692 1
86626 26748 86626 1
97880 4240 97880 1
24825 49649 24825 1
1924 3847 1924 1
89398 21204 89398 1
26534 53067 26534 1
43238 86475 43238 1
12591 25181 12591 1
33629 67257 33629 1
43609 87217 43609 1
89380 21240 89380 1
77521 44958 77521 1
93359 13282 93359 1
55840 88320 55840 1
9185 18369 9185 1
9209 18417 9209 1
52133 95734 52133 1
72955 54090 72955 1
26095 52189 26095 1
91162 17676 91162 1
37335 74669 37335 1
1898 3795 1898 1
94775 10450 94775 1
62637 74726 62637 1
67885 64230 67885 1
77869 44262 77869 1
29488 58975 29488 1
97058 5884 97058 1
42842 85683 42842 1
29550 59099 29550 1
34099 68197 34099 1
52400 95200 52400 1
12826 25651 12826 1
94121 11758 94121 1
84091 31818 84091 1
29307 58613 29307 1
32584 65167 32584 1
34569 69137 34569 1
13387 26773 13387 1
26585 53169 26585 1
18050 36099 18050 1
7960 15919 7960 1
78735 42530 78735 1
58510 82980 58510 1
62266 75468 62266 1
52798 94404 52798 1
76604 46792 76604 1
3327 6653 3327 1
71994 56012 71994 1
7104 14207 7104 1
57368 85264 57368 1
87742 24516 87742 1
88637 22726 88637 1
30666 61331 30666 1
96007 7986 96007 1
48808 97615 48808 1
13337 26673 13337 1
9927 19853 9927 1
52882 94236 52882 1
40915 81829 40915 1
96208 7584 96208 1
84531 30938 84531 1
73951 52098 73951 1
68175 63650 68175 1
78963 42074 78963 1
43490 86979 43490 1
297 593 297 1
62639 74722 62639 1
26087 52173 26087 1
33038 66075 33038 1
360 719 360 1
57845 84310 57845 1
57347 85306 57347 1
24242 48483 24242 1
68688 62624 68688 1
78490 43020 78490 1
63863 72274 63863 1
88170 23660 88170 1
17985 35969 17985 1
41699 83397 41699 1
41833 83665 41833 1
92076 15848 92076 1
6906 13811 6906 1
73563 52874 73563 1
45995 91989 45995 1
60096 79808 60096 1
68643 62714 68643 1
44824 89647 44824 1
65232 69536 65232 1
63325 73350 63325 1
19531 39061 19531 1
16529 33057 16529 1
40311 80621 40311 1
62590 74820 62590 1
3825 7649 3825 1
25339 50677 25339 1
40933 81865 40933 1
86415 27170 86415 1
98292 3416 98292 1
4544 9087 4544 1
15112 30223 15112 1
24023 48045 24023 1
21426 42851 21426 1
9772 19543 9772 1
35911 71821 35911 1
28723 57445 28723 1
23587 47173 23587 1
21295 42589 21295 1
10862 21723 10862 1
20359 40717 20359 1
49268 98535 49268 1
55740 88520 55740 1
68939 62122 68939 1
26955 53909 26955 1
13250 26499 13250 1
46767 93533 46767 1
51760 96480 51760 1
85612 28776 85612 1
23708 47415 23708 1
39760 79519 39760 1
32776 65551 32776 1
97994 4012 97994 1
12315 24629 12315 1
51503 96994 51503 1
17069 34137 17069 1
33134 66267 33134 1
13509 27017 13509 1
45906 91811 45906 1
15877 31753 15877 1
10292 20583 10292 1
69191 61618 69191 1
41426 82851 41426 1
54635 90730 54635 1
96953 6094 96953 1
82483 35034 82483 1
9941 19881 9941 1
44671 89341 44671 1
2078 4155 2078 1
49576 99151 49576 1
81573 36854 81573 1
54427 91146 54427 1
55687 88626 55687 1
6076 12151 6076 1
58507 82986 58507 1
17402 34803 17402 1
5120 10239 5120 1
94065 11870 94065 1
78954 42092 78954 1
82874 34252 82874 1
81050 37900 81050 1
51062 97876 51062 1
86038 27924 86038 1
36941 73881 36941 1
57209 85582 57209 1
64816 70368 64816 1
73281 53438 73281 1
68345 63310 68345 1
65144 69712 65144 1
33837 67673 33837 1
64363 71274 64363 1
58048 83904 58048 1
44302 88603 44302 1
46281 92561 46281 1
48702 97403 48702 1
90736 18528 90736 1
41447 82893 41447 1
52194 95612 52194 1
10589 21177 10589 1
16389 32777 16389 1
86134 27732 86134 1
6363 12725 6363 1
29284 58567 29284 1
17801 35601 17801 1
84749 30502 84749 1
43655 87309 43655 1
23163 46325 23163 1
87668 24664 87668 1
17772 35543 17772 1
95408 9184 95408 1
8562 17123 8562 1
88612 22776 88612 1
77095 45810 77095 1
86792 26416 86792 1
85088 29824 85088 1
94796 10408 94796 1
37191 74381 37191 1
91893 16214 91893 1
89224 21552 89224 1
79592 40816 79592 1
40659 81317 40659 1
16884 33767 16884 1
58831 82338 58831 1
59880 80240 59880 1
86097 27806 86097 1
66210 67580 66210 1
96839 6322 96839 1
92893 14214 92893 1
70439 59122 70439 1
29818 59635 29818 1
96492 7016 96492 1
1755 3509 1755 1
4751 9501 4751 1
73851 52298 73851 1
45722 91443 45722 1
28198 56395 28198 1
81809 36382 81809 1
69477 61046 69477 1
22229 44457 22229 1
28854 57707 28854 1
88432 23136 88432 1
20866 41731 20866 1
62656 74688 62656 1
69172 61656 69172 1
84581 30838 84581 1
83301 33398 83301 1
22579 45157 22579 1
49794 99587 49794 1
90425 19150 90425 1
85144 29712 85144 1
20102 40203 20102 1
24137 48273 24137 1
63888 72224 63888 1
597 1193 597 1
54040 91920 54040 1
48288 96575 48288 1
12047 24093 12047 1
61899 76202 61899 1
2834 5667 2834 1
17957 35913 17957 1
85042 29916 85042 1
62362 75276 62362 1
93000 14000 93000 1
55540 88920 55540 1
93651 12698 93651 1
48119 96237 48119 1
28507 57013 28507 1
8744 17487 8744 1
22292 44583 22292 1
6652 13303 6652 1
42237 84473 42237 1
39201 78401 39201 1
42608 85215 42608 1
81386 37228 81386 1
9587 19173 9587 1
67264 65472 67264 1
14798 29595 14798 1
91367 17266 91367 1
28215 56429 28215 1
91344 17312 91344 1
93735 12530 93735 1
51038 97924 51038 1
26152 52303 26152 1
77196 45608 77196 1
17761 35521 17761 1
61600 76800 61600 1
23869 47737 23869 1
59415 81170 59415 1
19569 39137 19569 1
13321 26641 13321 1
81714 36572 81714 1
80012 39976 80012 1
28570 57139 28570 1
89699 20602 89699 1
29709 59417 29709 1
91674 16652 91674 1
19409 38817 19409 1
79759 40482 79759 1
9849 19697 9849 1
10724 21447 10724 1
11888 23775 11888 1
92480 15040 92480 1
45853 91705 45853 1
9126 18251 9126 1
39337 78673 39337 1
72415 55170 72415 1
49177 98353 49177 1
46341 92681 46341 1
20239 40477 20239 1
86203 27594 86203 1
2287 4573 2287 1
20592 41183 20592 1
77526 44948 77526 1
49989 99977 49989 1
13226 26451 13226 1
76640 46720 76640 1
56649 86702 56649 1
20554 41107 20554 1
15562 31123 15562 1
10797 21593 10797 1
61277 77446 61277 1
3145 6289 3145 1
99455 1090 99455 1
91821 16358 91821 1
38273 76545 38273 1
34210 68419 34210 1
18598 37195 18598 1
59036 81928 59036 1
70812 58376 70812 1
23202 46403 23202 1
84240 31520 84240 1
40271 80541 40271 1
36351 72701 36351 1
41230 82459 41230 1
9727 19453 9727 1
90186 19628 90186 1
15928 31855 15928 1
71847 56306 71847 1
19332 38663 19332 1
72350 55300 72350 1
62129 75742 62129 1
99093 1814 99093 1
20959 41917 20959 1
97313 5374 97313 1
65544 68912 65544 1
99 197 99 1
98502 2996 98502 1
47303 94605 47303 1
11331 22661 11331 1
72248 55504 72248 1
87058 25884 87058 1
81776 36448 81776 1
67227 65546 67227 1
27510 55019 27510 1
83067 33866 83067 1
1356 2711 1356 1
86178 27644 86178 1
48029 96057 48029 1
98127 3746 98127 1
62849 74302 62849 1
97602 4796 97602 1
16414 32827 16414 1
71917 56166 71917 1
16988 33975 16988 1
17410 34819 17410 1
24584 49167 24584 1
78566 42868 78566 1
79535 40930 79535 1
44472 88943 44472 1
50943 98114 50943 1
66594 66812 66594 1
96512 6976 96512 1
88434 23132 88434 1
81038 37924 81038 1
74137 51726 74137 1
40269 80537 40269 1
31392 62783 31392 1
49497 98993 49497 1
20298 40595 20298 1
8491 16981 8491 1
72527 54946 72527 1
3398 6795 3398 1
11776 23551 11776 1
2684 5367 2684 1
93325 13350 93325 1
54388 91224 54388 1
62289 75422 62289 1
37011 74021 37011 1
27209 54417 27209 1
77488 45024 77488 1
56353 87294 56353 1
99371 1258 99371 1
30283 60565 30283 1
53508 92984 53508 1
85373 29254 85373 1
83298 33404 83298 1
71557 56886 71557 1
49220 98439 49220 1
9372 18743 9372 1
56954 86092 56954 1
4312 8623 4312 1
61645 76710 61645 1
83904 32192 83904 1
40053 80105 40053 1
10382 20763 10382 1
56485 87030 56485 1
54990 90020 54990 1
59648 80704 59648 1
17175 34349 17175 1
54020 91960 54020 1
40001 80001 40001 1
58144 83712 58144 1
26041 52081 26041 1
80946 38108 80946 1
12195 24389 12195 1
69023 61954 69023 1
27874 55747 27874 1
15964 31927 15964 1
4080 8159 4080 1
26379 52757 26379 1
60567 78866 60567 1
41962 83923 41962 1
11990 23979 11990 1
58300 83400 58300 1
32105 64209 32105 1
74363 51274 74363 1
42810 85619 42810 1
85091 29818 85091 1
79098 41804 79098 1
64827 70346 64827 1
7147 14293 7147 1
99653 694 99653 1
74653 50694 74653 1
78944 42112 78944 1
47562 95123 47562 1
92296 15408 92296 1
47323 94645 47323 1
21767 43533 21767 1
76380 47240 76380 1
58135 83730 58135 1
13804 27607 13804 1
49504 99007 49504 1
22685 45369 22685 1
85586 28828 85586 1
89572 20856 89572 1
14686 29371 14686 1
57754 84492 57754 1
97476 5048 97476 1
33508 67015 33508 1
31666 63331 31666 1
40749 81497 40749 1
96124 7752 96124 1
95553 8894 95553 1
44314 88627 44314 1
70015 59970 70015 1
79783 40434 79783 1
52192 95616 52192 1
94929 10142 94929 1
65904 68192 65904 1
49459 98917 49459 1
16429 32857 16429 1
36115 72229 36115 1
47031 94061 47031 1
4458 8915 4458 1
16971 33941 16971 1
31389 62777 31389 1
72979 54042 72979 1
93203 13594 93203 1
61295 77410 61295 1
13408 26815 13408 1
63297 73406 63297 1
76818 46364 76818 1
44279 88557 44279 1
3117 6233 3117 1
99701 598 99701 1
51655 96690 51655 1
10303 20605 10303 1
62514 74972 62514 1
31756 63511 31756 1
19340 38679 19340 1
49020 98039 49020 1
73635 52730 73635 1
95322 9356 95322 1
69320 61360 69320 1
58503 82994 58503 1
65281 69438 65281 1
98624 2752 98624 1
1743 3485 1743 1
2796 5591 2796 1
14390 28779 14390 1
55848 88304 55848 1
47367 94733 47367 1
72357 55286 72357 1
69025 61950 69025 1
78155 43690 78155 1
85130 29740 85130 1
60379 79242 60379 1
67868 64264 67868 1
65183 69634 65183 1
59120 81760 59120 1
36390 72779 36390 1
85175 29650 85175 1
8963 17925 8963 1
84687 30626 84687 1
20913 41825 20913 1
15584 31167 15584 1
14349 28697 14349 1
75329 49342 75329 1
4137 8273 4137 1
4 7 4 1
2662 5323 2662 1
25092 50183 25092 1
38247 76493 38247 1
92341 15318 92341 1
66556 66888 66556 1
14128 28255 14128 1
72514 54972 72514 1
90168 19664 90168 1
6129 12257 6129 1
48805 97609 48805 1
37 73 37 1
16484 32967 16484 1
28221 56441 28221 1
19989 39977 19989 1
73788 52424 73788 1
6115 12229 6115 1
38308 76615 38308 1
42245 84489 42245 1
21949 43897 21949 1
51679 96642 51679 1
20109 40217 20109 1
35819 71637 35819 1
3793 7585 3793 1
11208 22415 11208 1
18185 36369 18185 1
91149 17702 91149 1
709 1417 709 1
51336 97328 51336 1
48396 96791 48396 1
6339 12677 6339 1
39953 79905 39953 1
37532 75063 37532 1
48601 97201 48601 1
55543 88914 55543 1
28648 57295 28648 1
53788 92424 53788 1
28491 56981 28491 1
81517 36966 81517 1
87396 25208 87396 1
82962 34076 82962 1
69337 61326 69337 1
84258 31484 84258 1
7206 14411 7206 1
42302 84603 42302 1
21421 42841 21421 1
39933 79865 39933 1
64800 70400 64800 1
53286 93428 53286 1
2263 4525 2263 1
8477 16953 8477 1
21807 43613 21807 1
23066 46131 23066 1
66928 66144 66928 1
53365 93270 53365 1
64133 71734 64133 1
5509 11017 5509 1
73405 53190 73405 1
98793 2414 98793 1
57924 84152 57924 1
99345 1310 99345 1
34272 68543 34272 1
89525 20950 89525 1
76858 46284 76858 1
88448 23104 88448 1
98328 3344 98328 1
5324 10647 5324 1
47326 94651 47326 1
37443 74885 37443 1
38102 76203 38102 1
72413 55174 72413 1
69680 60640 69680 1
3742 7483 3742 1
96942 6116 96942 1
3351 6701 3351 1
38864 77727 38864 1
15738 31475 15738 1
36144 72287 36144 1
1830 3659 1830 1
88560 22880 88560 1
99268 1464 99268 1
97573 4854 97573 1
24310 48619 24310 1
97810 4380 97810 1
33028 66055 33028 1
66402 67196 66402 1
66150 67700 66150 1
68014 63972 68014 1
4378 8755 4378 1
21035 42069 21035 1
51523 96954 51523 1
12421 24841 12421 1
21542 43083 21542 1
73094 53812 73094 1
18917 37833 18917 1
7820 15639 7820 1
31989 63977 31989 1
99758 484 99758 1
66620 66760 66620 1
22014 44027 22014 1
35092 70183 35092 1
74410 51180 74410 1
98227 3546 98227 1
33430 66859 33430 1
33501 67001 33501 1
26692 53383 26692 1
8414 16827 8414 1
53655 92690 53655 1
61884 76232 61884 1
80804 38392 80804 1
15567 31133 15567 1
17879 35757 17879 1
29949 59897 29949 1
27446 54891 27446 1
78572 42856 78572 1
